CE	NIR	rededge	red	green	NDVI	NDRE	GNDVI	SAVI
18.46	0.580	0.292	0.051	0.070	0.838	0.331	0.786	0.702
17.32	0.516	0.274	0.057	0.067	0.838	0.306	0.786	0.641
15.26	0.541	0.276	0.054	0.071	0.838	0.323	0.786	0.666
16.48	0.570	0.291	0.050	0.068	0.839	0.323	0.787	0.697
17.85	0.668	0.219	0.042	0.079	0.881	0.516	0.789	0.775
17.86	0.636	0.203	0.041	0.076	0.878	0.516	0.788	0.758
16.80	0.703	0.224	0.045	0.081	0.880	0.517	0.794	0.791
17.69	0.721	0.236	0.044	0.083	0.886	0.517	0.794	0.804
18.38	0.584	0.295	0.051	0.070	0.794	0.302	0.769	0.705
18.66	0.498	0.267	0.057	0.065	0.794	0.302	0.769	0.627
21.24	0.493	0.266	0.056	0.068	0.795	0.299	0.758	0.624
18.46	0.562	0.281	0.047	0.064	0.795	0.299	0.758	0.697
12.34	0.669	0.213	0.043	0.077	0.878	0.507	0.784	0.774
12.12	0.628	0.205	0.039	0.076	0.878	0.507	0.784	0.757
12.09	0.688	0.227	0.044	0.082	0.879	0.504	0.784	0.784
12.21	0.734	0.233	0.042	0.083	0.879	0.504	0.784	0.813
18.14	0.593	0.304	0.064	0.076	0.828	0.322	0.790	0.687
18.10	0.556	0.275	0.052	0.065	0.828	0.338	0.790	0.682
21.78	0.556	0.276	0.052	0.067	0.828	0.337	0.790	0.682
19.24	0.528	0.274	0.046	0.060	0.840	0.322	0.796	0.673
14.85	0.721	0.216	0.040	0.077	0.894	0.539	0.807	0.809
14.53	0.661	0.209	0.038	0.075	0.890	0.539	0.807	0.778
14.92	0.720	0.232	0.044	0.085	0.885	0.539	0.807	0.803
14.31	0.756	0.233	0.043	0.083	0.892	0.529	0.803	0.823
17.42	0.575	0.293	0.061	0.072	0.809	0.316	0.779	0.679
17.86	0.543	0.273	0.054	0.066	0.809	0.316	0.782	0.669
17.42	0.524	0.270	0.048	0.064	0.809	0.320	0.784	0.665
15.68	0.530	0.278	0.051	0.064	0.809	0.312	0.784	0.666
12.01	0.696	0.216	0.040	0.077	0.888	0.526	0.784	0.796
11.69	0.668	0.219	0.040	0.081	0.888	0.526	0.784	0.780
11.83	0.728	0.224	0.042	0.079	0.890	0.530	0.784	0.810
12.22	0.712	0.216	0.041	0.077	0.890	0.535	0.784	0.803
15.44	0.562	0.281	0.049	0.067	0.838	0.333	0.786	0.692
19.42	0.518	0.276	0.055	0.075	0.838	0.333	0.786	0.647
16.28	0.517	0.271	0.058	0.067	0.838	0.333	0.771	0.641
17.20	0.552	0.287	0.050	0.067	0.834	0.333	0.784	0.684
18.04	0.634	0.193	0.041	0.074	0.879	0.532	0.791	0.757
18.00	0.691	0.216	0.045	0.078	0.877	0.524	0.797	0.784
18.25	0.663	0.216	0.044	0.078	0.875	0.524	0.789	0.769
17.94	0.726	0.239	0.049	0.087	0.873	0.524	0.786	0.796
16.56	0.540	0.277	0.051	0.068	0.826	0.312	0.777	0.672
18.82	0.520	0.272	0.053	0.070	0.814	0.312	0.764	0.652
18.06	0.500	0.268	0.053	0.065	0.809	0.303	0.764	0.637
17.44	0.524	0.274	0.046	0.063	0.809	0.314	0.764	0.671
12.89	0.648	0.200	0.042	0.076	0.873	0.511	0.791	0.764
12.74	0.670	0.207	0.043	0.074	0.873	0.511	0.791	0.776
12.74	0.657	0.213	0.043	0.077	0.873	0.511	0.791	0.768
12.72	0.739	0.244	0.050	0.089	0.873	0.503	0.786	0.801
16.82	0.496	0.249	0.052	0.060	0.810	0.332	0.785	0.635
16.30	0.468	0.248	0.049	0.058	0.809	0.332	0.780	0.618
16.80	0.487	0.250	0.049	0.059	0.818	0.321	0.780	0.634
18.42	0.478	0.252	0.053	0.075	0.818	0.321	0.780	0.618
19.21	0.635	0.197	0.041	0.073	0.878	0.526	0.793	0.757
18.95	0.680	0.216	0.042	0.077	0.883	0.526	0.797	0.783
18.30	0.695	0.223	0.045	0.084	0.880	0.526	0.785	0.787
19.07	0.726	0.243	0.051	0.089	0.880	0.526	0.782	0.793
16.64	0.507	0.261	0.052	0.062	0.809	0.300	0.736	0.643
18.04	0.464	0.250	0.049	0.058	0.809	0.300	0.736	0.614
18.42	0.471	0.254	0.054	0.061	0.796	0.299	0.736	0.611
18.24	0.506	0.261	0.052	0.077	0.813	0.299	0.736	0.643
12.06	0.661	0.206	0.042	0.076	0.867	0.503	0.794	0.771
11.74	0.671	0.214	0.042	0.077	0.867	0.503	0.795	0.777
11.70	0.683	0.215	0.044	0.079	0.867	0.503	0.793	0.781
11.71	0.704	0.233	0.050	0.085	0.867	0.503	0.785	0.782
15.70	0.524	0.260	0.051	0.063	0.822	0.338	0.786	0.660
23.00	0.438	0.253	0.065	0.068	0.822	0.338	0.786	0.557
16.74	0.493	0.260	0.051	0.060	0.831	0.331	0.782	0.636
17.38	0.629	0.316	0.058	0.081	0.831	0.331	0.771	0.721
16.32	0.619	0.196	0.040	0.071	0.879	0.519	0.794	0.750
17.52	0.706	0.223	0.046	0.080	0.877	0.519	0.795	0.791
17.41	0.630	0.211	0.043	0.078	0.877	0.519	0.795	0.751
16.86	0.659	0.227	0.048	0.082	0.877	0.519	0.795	0.759
17.68	0.522	0.265	0.051	0.065	0.821	0.281	0.744	0.657
18.98	0.485	0.273	0.062	0.071	0.773	0.281	0.744	0.606
19.12	0.488	0.261	0.059	0.064	0.785	0.303	0.768	0.615
19.66	0.550	0.278	0.053	0.069	0.823	0.303	0.768	0.676
11.05	0.619	0.197	0.041	0.071	0.860	0.504	0.786	0.747
11.23	0.694	0.218	0.044	0.078	0.860	0.504	0.786	0.788
11.20	0.646	0.213	0.043	0.077	0.860	0.504	0.786	0.762
11.28	0.671	0.231	0.050	0.084	0.860	0.488	0.778	0.762
17.70	0.517	0.276	0.053	0.065	0.831	0.346	0.777	0.649
17.84	0.533	0.279	0.049	0.064	0.831	0.346	0.792	0.670
19.64	0.550	0.267	0.050	0.064	0.834	0.346	0.792	0.682
16.68	0.543	0.287	0.059	0.081	0.834	0.346	0.792	0.658
14.80	0.596	0.196	0.037	0.071	0.882	0.517	0.788	0.739
14.23	0.656	0.220	0.046	0.078	0.882	0.517	0.795	0.762
15.00	0.710	0.226	0.045	0.081	0.881	0.517	0.795	0.795
14.67	0.744	0.235	0.045	0.084	0.885	0.520	0.798	0.813
17.16	0.494	0.269	0.057	0.066	0.792	0.294	0.798	0.623
19.08	0.520	0.277	0.052	0.067	0.792	0.305	0.772	0.655
16.38	0.533	0.270	0.050	0.065	0.792	0.305	0.781	0.670
19.90	0.506	0.266	0.057	0.072	0.799	0.305	0.752	0.634
11.36	0.607	0.198	0.039	0.071	0.879	0.509	0.790	0.743
12.01	0.653	0.215	0.044	0.077	0.874	0.505	0.789	0.763
12.02	0.704	0.226	0.043	0.080	0.874	0.505	0.789	0.795
11.49	0.718	0.230	0.045	0.081	0.874	0.505	0.789	0.800
19.90	0.421	0.223	0.048	0.053	0.844	0.326	0.777	0.577
18.54	0.622	0.316	0.053	0.084	0.844	0.326	0.777	0.727
15.18	0.444	0.239	0.048	0.058	0.844	0.326	0.770	0.599
